canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
,WILLAX,2021-11-27, ,14:00:00,15:00:00,2021-11-27 14:00:00,2021-11-27 15:00:00
,WILLAX,2021-11-28, ,14:00:00,15:00:00,2021-11-28 14:00:00,2021-11-28 15:00:00
,WILLAX,2021-11-29, ,14:00:00,15:00:00,2021-11-29 14:00:00,2021-11-29 15:00:00
,WILLAX,2021-11-30, ,14:00:00,15:00:00,2021-11-30 14:00:00,2021-11-30 15:00:00
,WILLAX,2021-12-01, ,14:00:00,15:00:00,2021-12-01 14:00:00,2021-12-01 15:00:00
,WILLAX,2021-12-02, ,14:00:00,15:00:00,2021-12-02 14:00:00,2021-12-02 15:00:00
17:00 a 18:50,AMERICA TELEVISION HD,2021-11-26, ,17:00:00,18:50:00,2021-11-26 17:00:00,2021-11-26 18:50:00
,AMERICA TELEVISION HD,2021-11-27, ,17:00:00,18:50:00,2021-11-27 17:00:00,2021-11-27 18:50:00
,AMERICA TELEVISION HD,2021-11-28, ,17:00:00,18:50:00,2021-11-28 17:00:00,2021-11-28 18:50:00
,AMERICA TELEVISION HD,2021-11-29, ,17:00:00,18:50:00,2021-11-29 17:00:00,2021-11-29 18:50:00
,AMERICA TELEVISION HD,2021-11-30, ,17:00:00,18:50:00,2021-11-30 17:00:00,2021-11-30 18:50:00
,AMERICA TELEVISION HD,2021-12-01, ,17:00:00,18:50:00,2021-12-01 17:00:00,2021-12-01 18:50:00
,AMERICA TELEVISION HD,2021-12-02, ,17:00:00,18:50:00,2021-12-02 17:00:00,2021-12-02 18:50:00
18:50 a 20:30,AMERICA TELEVISION HD,2021-11-26, ,18:50:00,20:30:00,2021-11-26 18:50:00,2021-11-26 20:30:00
,AMERICA TELEVISION HD,2021-11-27, ,18:50:00,20:30:00,2021-11-27 18:50:00,2021-11-27 20:30:00
,AMERICA TELEVISION HD,2021-11-28, ,18:50:00,20:30:00,2021-11-28 18:50:00,2021-11-28 20:30:00
,AMERICA TELEVISION HD,2021-11-29, ,18:50:00,20:30:00,2021-11-29 18:50:00,2021-11-29 20:30:00
,AMERICA TELEVISION HD,2021-11-30, ,18:50:00,20:30:00,2021-11-30 18:50:00,2021-11-30 20:30:00
,AMERICA TELEVISION HD,2021-12-01, ,18:50:00,20:30:00,2021-12-01 18:50:00,2021-12-01 20:30:00
,AMERICA TELEVISION HD,2021-12-02, ,18:50:00,20:30:00,2021-12-02 18:50:00,2021-12-02 20:30:00
19:00 a 22:00,M DEPORTES HD,2021-11-26, ,19:00:00,22:00:00,2021-11-26 19:00:00,2021-11-26 22:00:00
,M DEPORTES HD,2021-11-27, ,19:00:00,22:00:00,2021-11-27 19:00:00,2021-11-27 22:00:00
,M DEPORTES HD,2021-11-28, ,19:00:00,22:00:00,2021-11-28 19:00:00,2021-11-28 22:00:00
,M DEPORTES HD,2021-11-29, ,19:00:00,22:00:00,2021-11-29 19:00:00,2021-11-29 22:00:00
,M DEPORTES HD,2021-11-30, ,19:00:00,22:00:00,2021-11-30 19:00:00,2021-11-30 22:00:00
,M DEPORTES HD,2021-12-01, ,19:00:00,22:00:00,2021-12-01 19:00:00,2021-12-01 22:00:00
,M DEPORTES HD,2021-12-02, ,19:00:00,22:00:00,2021-12-02 19:00:00,2021-12-02 22:00:00
19:00 a 20:45,ATV HD,2021-11-26, ,19:00:00,20:45:00,2021-11-26 19:00:00,2021-11-26 20:45:00
,ATV HD,2021-11-27, ,19:00:00,20:45:00,2021-11-27 19:00:00,2021-11-27 20:45:00
,ATV HD,2021-11-28, ,19:00:00,20:45:00,2021-11-28 19:00:00,2021-11-28 20:45:00
,ATV HD,2021-11-29, ,19:00:00,20:45:00,2021-11-29 19:00:00,2021-11-29 20:45:00
,ATV HD,2021-11-30, ,19:00:00,20:45:00,2021-11-30 19:00:00,2021-11-30 20:45:00
,ATV HD,2021-12-01, ,19:00:00,20:45:00,2021-12-01 19:00:00,2021-12-01 20:45:00
,ATV HD,2021-12-02, ,19:00:00,20:45:00,2021-12-02 19:00:00,2021-12-02 20:45:00
20:30 a 23:00,LATINA HD,2021-11-26, ,20:30:00,23:00:00,2021-11-26 20:30:00,2021-11-26 23:00:00
,LATINA HD,2021-11-27, ,20:30:00,23:00:00,2021-11-27 20:30:00,2021-11-27 23:00:00
,LATINA HD,2021-11-28, ,20:30:00,23:00:00,2021-11-28 20:30:00,2021-11-28 23:00:00
,LATINA HD,2021-11-29, ,20:30:00,23:00:00,2021-11-29 20:30:00,2021-11-29 23:00:00
,LATINA HD,2021-11-30, ,20:30:00,23:00:00,2021-11-30 20:30:00,2021-11-30 23:00:00
,LATINA HD,2021-12-01, ,20:30:00,23:00:00,2021-12-01 20:30:00,2021-12-01 23:00:00
,LATINA HD,2021-12-02, ,20:30:00,23:00:00,2021-12-02 20:30:00,2021-12-02 23:00:00
20:30 a 23:00,AMERICA TELEVISION HD,2021-11-26, ,20:30:00,23:00:00,2021-11-26 20:30:00,2021-11-26 23:00:00
,AMERICA TELEVISION HD,2021-11-27, ,20:30:00,23:00:00,2021-11-27 20:30:00,2021-11-27 23:00:00
,AMERICA TELEVISION HD,2021-11-28, ,20:30:00,23:00:00,2021-11-28 20:30:00,2021-11-28 23:00:00
,AMERICA TELEVISION HD,2021-11-29, ,20:30:00,23:00:00,2021-11-29 20:30:00,2021-11-29 23:00:00
,AMERICA TELEVISION HD,2021-11-30, ,20:30:00,23:00:00,2021-11-30 20:30:00,2021-11-30 23:00:00
,AMERICA TELEVISION HD,2021-12-01, ,20:30:00,23:00:00,2021-12-01 20:30:00,2021-12-01 23:00:00
,AMERICA TELEVISION HD,2021-12-02, ,20:30:00,23:00:00,2021-12-02 20:30:00,2021-12-02 23:00:00
20:45 a 21:45,ATV HD,2021-11-26, ,20:45:00,21:45:00,2021-11-26 20:45:00,2021-11-26 21:45:00
,ATV HD,2021-11-27, ,20:45:00,21:45:00,2021-11-27 20:45:00,2021-11-27 21:45:00
,ATV HD,2021-11-28, ,20:45:00,21:45:00,2021-11-28 20:45:00,2021-11-28 21:45:00
,ATV HD,2021-11-29, ,20:45:00,21:45:00,2021-11-29 20:45:00,2021-11-29 21:45:00
,ATV HD,2021-11-30, ,20:45:00,21:45:00,2021-11-30 20:45:00,2021-11-30 21:45:00
,ATV HD,2021-12-01, ,20:45:00,21:45:00,2021-12-01 20:45:00,2021-12-01 21:45:00
,ATV HD,2021-12-02, ,20:45:00,21:45:00,2021-12-02 20:45:00,2021-12-02 21:45:00
21:45 a 23:00,ATV HD,2021-11-26, ,21:45:00,23:00:00,2021-11-26 21:45:00,2021-11-26 23:00:00
,ATV HD,2021-11-27, ,21:45:00,23:00:00,2021-11-27 21:45:00,2021-11-27 23:00:00
,ATV HD,2021-11-28, ,21:45:00,23:00:00,2021-11-28 21:45:00,2021-11-28 23:00:00
,ATV HD,2021-11-29, ,21:45:00,23:00:00,2021-11-29 21:45:00,2021-11-29 23:00:00
,ATV HD,2021-11-30, ,21:45:00,23:00:00,2021-11-30 21:45:00,2021-11-30 23:00:00
,ATV HD,2021-12-01, ,21:45:00,23:00:00,2021-12-01 21:45:00,2021-12-01 23:00:00
,ATV HD,2021-12-02, ,21:45:00,23:00:00,2021-12-02 21:45:00,2021-12-02 23:00:00
22:00 a 23:00,M DEPORTES HD,2021-11-26, ,22:00:00,23:00:00,2021-11-26 22:00:00,2021-11-26 23:00:00
,M DEPORTES HD,2021-11-27, ,22:00:00,23:00:00,2021-11-27 22:00:00,2021-11-27 23:00:00
,M DEPORTES HD,2021-11-28, ,22:00:00,23:00:00,2021-11-28 22:00:00,2021-11-28 23:00:00
